team,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
MCI,73,0,3,3,3,1,3,1,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,0,3,3,1,3,NA,NA
LIV,72,3,3,1,3,3,1,1,3,3,1,0,3,3,3,3,3,3,1,0,1,3,3,3,3,3,3,3,3,3,3,NA,NA
CHE,62,3,3,1,3,3,0,3,3,3,3,1,3,1,3,0,3,1,1,3,1,1,0,1,3,3,3,3,3,0,3,NA,NA
TOT,57,3,3,3,0,0,0,3,3,0,0,1,3,3,3,1,3,1,3,3,0,0,0,3,0,3,3,0,3,3,3,3,NA
ARS,54,0,0,0,3,3,3,1,1,3,3,3,0,3,0,0,3,3,3,3,0,1,3,3,3,3,3,0,3,0,0,NA,NA
MUN,51,3,1,3,3,3,0,1,0,0,3,0,0,1,3,3,3,1,3,0,1,3,3,1,1,3,3,1,0,3,1,0,NA
WHU,51,3,3,1,1,0,3,0,3,3,3,3,0,0,1,3,1,0,0,3,3,3,0,0,3,1,1,3,0,3,0,3,NA
WOL,49,0,0,0,3,0,3,3,3,1,3,0,3,1,1,0,0,3,1,3,3,3,0,3,3,0,0,0,3,3,0,3,0
BRI,37,3,3,0,3,3,1,1,1,0,1,1,0,1,1,1,0,3,1,3,1,1,1,3,0,0,0,0,0,0,1,3,NA
CRY,37,0,1,1,3,0,1,1,1,1,3,3,1,0,0,0,3,1,0,3,0,1,0,1,1,0,3,1,3,1,3,NA,NA
LEI,37,3,0,3,0,0,1,1,3,3,0,1,0,3,1,0,3,0,3,0,1,0,1,0,3,3,0,3,1,NA,NA,NA,NA
AVL,36,0,3,1,0,3,3,0,0,0,0,0,3,3,0,3,0,3,0,0,1,3,1,0,0,3,3,3,0,0,0,0,NA
SOU,36,0,1,1,1,1,0,0,3,1,3,3,0,0,1,1,0,1,3,1,3,0,1,3,1,3,3,0,0,0,1,0,NA
NEW,34,0,0,1,0,1,1,0,0,1,0,1,1,0,1,3,0,0,0,1,1,3,3,3,1,3,3,3,0,0,0,3,NA
BRE,33,3,1,1,0,3,1,3,0,0,0,0,1,3,0,1,3,0,0,3,0,0,0,0,0,1,0,0,3,3,0,3,NA
LED,33,0,1,1,0,1,0,3,0,1,3,1,0,1,3,1,0,0,0,3,3,0,1,0,0,0,0,0,0,3,3,1,3
EVE,28,3,1,3,3,0,3,1,0,0,0,1,0,0,0,3,0,1,0,0,0,0,3,0,0,0,0,3,0,0,3,NA,NA
BUR,24,0,0,1,0,0,1,1,0,1,3,1,1,1,0,1,0,0,1,1,1,0,3,3,1,0,0,0,0,3,NA,NA,NA
WAT,22,3,0,0,0,3,1,0,0,3,0,0,3,0,0,0,0,0,0,1,0,1,0,0,3,0,1,0,0,3,0,0,NA
NOR,18,0,0,0,0,0,0,1,1,0,0,3,3,1,1,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,1,NA,NA
